"queueLength:vector OppNet.Q2 ($0=11, $1=10, #0 - PreliminarySimulation-0-20191008-08:07:21-8328)",
0,0
2.530110023542,1
3.901619679614,0
4.989468292339,1
6.360977948411,0
32.042409249106,1
32.113161003851,2
33.413918905178,1
33.484670659923,0
39.420484055497,1
40.791993711569,0
61.55470847467,1
62.926218130742,0
78.770216356249,1
80.141726012321,0
81.229574625046,1
82.601084281118,0
98.445082506625,1
99.816592162697,0
110.74187385061,1
112.113383506682,0
118.119948657001,1
119.491458313073,0
135.33545653858,1
136.706966194652,0
142.713531344971,1
144.085041001043,0
157.469680957753,1
158.841190613825,0
167.307114032941,1
168.678623689013,0
204.197488064896,1
205.568997720968,0
248.465936903242,1
249.837446559314,0
263.222086516024,1
263.292838270769,2
264.593596172096,1
264.664347926841,0
277.978236128806,1
279.349745784878,0
282.8969526664,1
284.268462322472,0
285.356310935197,1
286.727820591269,0
287.815669203994,1
289.187178860066,0
307.49053535437,1
308.862045010442,0
309.949893623167,1
311.321403279239,0
322.246684967152,1
323.618194623224,0
329.624759773543,1
330.996269429615,0
344.380909386325,1
344.45166114107,2
345.752419042397,1
345.823170797142,0
349.299625923919,1
350.671135579991,0
356.67770073031,1
358.049210386382,0
378.811925149483,1
378.882676904228,2
380.183434805555,1
380.2541865603,0
388.649358224671,1
390.020867880743,0
393.568074762265,1
394.939584418337,0
405.86486610625,1
407.236375762322,0
410.783582643844,1
412.155092299916,0
418.161657450235,1
419.533167106307,0
423.080373987829,1
423.151125742574,2
424.451883643901,1
424.522635398646,0
427.999090525423,1
429.370600181495,0
432.917807063017,1
434.289316719089,0
435.377165331814,1
435.447917086559,2
435.518668841304,3
436.748674987886,2
436.819426742631,1
436.890178497376,0
437.836523600611,1
439.208033256683,0
450.133314944596,1
451.504824600668,0
455.05203148219,1
456.423541138262,0
474.726897632566,1
474.797649387311,2
476.098407288638,1
476.169159043383,0
479.64561417016,1
479.716365924905,2
481.017123826232,1
481.087875580977,0
487.023688976551,1
488.395198632623,0
496.861122051739,1
498.232631707811,0
548.507645696476,1
549.879155352548,0
550.967003965273,1
552.338513621345,0
568.182511846852,1
569.554021502924,0
570.641870115649,1
572.013379771721,0
582.938661459634,1
584.310171115706,0
585.398019728431,1
586.769529384503,0
592.776094534822,1
594.147604190894,0
605.072885878807,1
606.444395534879,0
609.991602416401,1
611.363112072473,0
612.450960685198,1
613.82247034127,0
627.20711029798,1
628.578619954052,0
637.044543373168,1
637.115295127913,2
638.41605302924,1
638.486804783985,0
646.881976448356,1
648.253486104428,0
654.260051254747,1
655.631560910819,0
656.719409523544,1
658.090919179616,0
671.475559136326,1
672.847068792398,0
673.934917405123,1
675.306427061195,0
676.39427567392,1
677.765785329992,0
713.284649705875,1
714.656159361947,0
715.744007974672,1
717.115517630744,0
720.662724512266,1
722.034234168338,0
723.122082781063,1
723.192834535808,2
723.263586290553,3
724.493592437135,2
724.56434419188,1
724.635095946625,0
732.959515856251,1
734.331025512323,0
737.878232393845,1
739.249742049917,0
747.715665469033,1
749.087175125105,0
752.634382006627,1
754.005891662699,0
757.553098544221,1
758.924608200293,0
782.146681232191,1
783.518190888263,0
796.902830844973,1
798.274340501045,0
799.36218911377,1
800.733698769842,0
801.821547382567,1
803.193057038639,0
821.496413532943,1
822.867923189015,0
823.95577180174,1
825.327281457812,0
831.333846608131,1
832.705356264203,0
833.793204876928,1
835.164714533,0
848.54935448971,1
848.620106244455,2
849.920864145782,1
849.991615900527,0
853.468071027304,1
854.839580683376,0
855.927429296101,1
857.298938952173,0
863.305504102492,1
864.677013758564,0
882.980370252868,1
884.35187990894,0
895.277161596853,1
896.648671252925,0
900.195878134447,1
901.567387790519,0
912.492669478432,1
913.864179134504,0
937.086252166402,1
938.457761822474,0
956.761118316778,1
958.13262797285,0
973.976626198357,1
975.348135854429,0
976.435984467154,1
977.807494123226,0
978.895342735951,1
980.266852392023,0
981.354701004748,1
982.72621066082,0
986.273417542342,1
986.344169297087,2
987.644927198414,1
987.715678953159,0
1023.163791574297,1
1024.535301230369,0
1030.541866380688,1
1031.91337603676,0
1033.001224649485,1
1034.372734305557,0
1060.054165606252,1
1061.425675262324,0
1072.350956950237,1
1073.722466606309,0
1077.269673487831,1
1078.641183143903,0
1089.566464831816,1
1090.937974487888,0
1104.322614444598,1
1105.69412410067,0
1109.241330982192,1
1110.612840638264,0
1121.538122326177,1
1122.909631982249,0
1143.67234674535,1
1143.743098500095,2
1145.043856401422,1
1145.114608156167,0
1158.428496358132,1
1159.800006014204,0
1175.644004239711,1
1177.015513895783,0
1178.103362508508,1
1179.47487216458,0
1187.940795583696,1
