"queueLength:vector OppNet.Q3 ($0=54, $1=7.5, #0 - PreliminarySimulation-7-20191008-08:07:21-8328)",
0,0
45.234731893443,1
46.476451887427,0
46.770381779797,1
46.946495891196,0
414.311825312221,1
414.753596576897,0
682.064980803823,1
682.300754682563,0
751.890605240277,1
752.925669976022,0
960.518226572879,1
961.03520404837,0
989.369866279273,1
989.83704180624,0
1085.662228559007,1
1086.46699508959,0
1087.197878445361,1
1087.681832162715,0
1192.067201060649,1
1193.406502723116,0
1193.602850947003,1
1193.713075843387,0
1200.644161396203,1
1201.4271739508,0
1202.179811282557,1
1203.856088362537,0
1254.426889059523,1
1255.893673686952,0
2053.306196155551,1
2053.598946091259,0
2377.863920156157,1
2378.22889472722,0
3085.369045479751,1
3085.724567903864,0
3427.979401055249,1
3428.471702853568,0
3727.393724104739,1
3728.929373991093,2
3730.39335077605,1
3730.985823880713,0
3849.629280385325,1
3851.124498006838,0
4141.528208070211,1
4142.210576738101,0
4389.643623173543,1
4390.294922172944,0
4858.622399773285,1
4859.390019907824,0
4961.319133519649,1
4962.739716674433,0
5145.489751810729,1
5148.761302174828,0
5160.895709601293,1
5161.774358506326,0
5900.585546325203,1
5901.37453884932,0
6096.616737718735,1
6098.126231010782,0
6098.152387605089,1
6098.197538026824,0
6158.502340802205,1
6159.435926228211,0
6262.048326525329,1
6263.906348177142,0
6430.812987025845,1
6431.522123610837,0
6542.511307096143,1
6542.796405152726,0
7066.008668195823,1
7066.406152822286,0
7104.760605129935,1
7105.319360310797,0
7169.979279907327,1
7170.042438715477,0
7171.514929793681,1
7173.050579680035,2
7176.009215405235,1
7176.544963053637,0
7423.763209640671,1
7423.917495930939,0
7425.298859527025,1
7425.593245256897,0
7446.210477880435,1
7446.829526157808,0
7528.370760334745,1
7528.592588209915,0
7558.970362921683,1
7559.17177551994,0
7660.343759775883,1
7661.161342009468,0
7727.098084439629,1
7731.100535274112,0
7896.761455843929,1
7897.452704033328,0
8005.600789135709,1
8007.136439022063,2
8008.623839236432,1
8008.672088908417,2
8009.446749595156,1
8010.207738794771,2
8014.191700665649,1
8015.093730294031,0
8080.295135152439,1
8081.617680670903,0
8168.435163084999,1
8169.144974408553,0
8185.164457767727,1
8186.523306844039,0
8186.700107654081,1
8187.535842448372,0
8516.027635380915,1
8517.887899801272,0
8523.068945830115,1
8523.677593442979,0
8732.382965072311,1
8732.435198454595,0
8919.462029068933,1
8920.262450209057,0
8935.766697763281,1
8936.196005640135,0
8940.161334428153,1
8940.285891706834,0
9312.047955698425,1
9312.087326707816,0
9379.488678271765,1
9380.392811497598,0
9534.432489795095,1
9536.023333363681,0
9590.126034406125,1
9590.754562014934,0
9675.407075560167,1
9675.539331097171,0
9680.014025219229,1
9680.984269277563,0
9744.546302087027,1
9744.831120716329,0
9746.081951973381,1
9746.411776289923,0
9749.153251746089,1
9750.097510872736,0
9750.688901632443,1
9751.556182125663,0
9792.773910260477,1
9794.223764111019,0
9863.710558594905,1
9865.086547503098,0
9865.246208481259,1
9867.107642054416,0
9877.580866499115,1
9877.677008109979,0
9922.949487894047,1
9923.242368877064,0
9929.990798343247,1
9931.347645444719,0
9947.618803929759,1
9947.780139733055,0
